DorM;Cache(M);Cores;Threads;Speed(GHz);Price;Name
1;2;4;4;2,64;161;J3710
1;2;4;4;2,4;161;N3700
1;2;4;4;2,6;161;J4205
1;2;2;2;3,2;52;G4920
1;2;2;2;3;52;G3950
1;2;2;2;2,9;52;G3920
1;2;2;2;3,1;42;G4900
1;2;2;2;2,9;42;G3930
1;2;2;2;2,8;42;G3900
1;2;4;4;2,24;107;J3160
1;2;4;4;2,08;107;N3150
1;2;4;4;2,3;107;J3455
1;2;2;2;2,48;107;J3060
1;2;2;2;2,16;107;N3050
1;2;2;2;2,5;107;J3355
1;2;2;2;2,9;42;G4900T
1;2;2;2;2,7;42;G3930T
1;2;2;2;2,6;42;G3900T
0;8;4;8;3;1207;E3-1575M v5
0;8;4;8;2,9;679;E3-1545M v5
0;8;4;8;2,8;489;E3-1515M v5
0;8;4;8;2,9;623;E3-1535M v5
0;12;6;12;2,9;623;E-2186M
0;8;4;8;2,8;434;E3-1505M v5
0;8;4;8;3,1;623;E3-1535M v6,
0;8;4;8;3;434;E3-1505M v6
0;12;6;12;2,7;450;E-2176M
0;12;6;12;2,9;583;i9-8950HK
0;8;4;8;2,8;623;i7-6970HQ
0;8;4;8;2,7;434;i7-6870HQ
0;6;4;8;2,6;434;i7-6770HQ
0;8;4;8;3,1;568;I7-7920HQ, 
0;8;4;8;2,9;378;i7-7820HQ, 
0;8;4;8;2,9;378;i7-7820HK,
0;9;6;12;2,6;395;i7-8850H
0;6;4;8;2,8;378;i7-7700HQ
0;9;6;12;2,2;395;i7-8750H
0;8;4;8;2,9;568;i7-6920HQ
0;8;4;8;2,7;378;i7-6820HQ
0;8;4;8;2,7;378;i7-6820HK
0;6;4;8;2,9;623;i7-5950HQ
0;6;4;8;2,7;434;i7-5850HQ
0;6;4;8;2,5;434;i7-5750HQ
0;6;4;8;2,7;378;i7-5700HQ
0;6;4;8;2,6;378;i7-6700HQ
0;6;4;4;2,3;306;i5-6350HQ
0;6;4;4;2,6;250;i5-6440HQ
0;6;4;4;2,8;250;i5-7440HQ, 
0;8;4;8;2,5;250;i5-8400H, 
0;6;4;4;2,5;250;i5-7300HQ
0;8;4;8;2,3;250;i5-8300H
0;6;4;4;2,3;250;i5-6300HQ
0;4;2;4;3;289;i5-5350H
0;3;2;4;3;225;i3-7100H
0;3;2;4;2,7;225;i3-6100H
0;4;2;4;2,4;415;i7-6660U
0;4;2;4;2,2;415;i7-6650U
0;4;2;4;2,2;415;i7-6560U
0;4;2;4;2,4;415;i7-7560U
0;4;2;4;3,3;415;i7-6567U
0;4;2;4;3,5;415;i7-7567U
0;8;4;8;2,7;431;i7-8559U
0;4;2;4;2,2;426;i7-5650U
0;4;2;4;2,6;393;i7-6600U
0;4;2;4;2,5;415;i7-7660U
0;4;2;4;2,6;393;i7-5600U
0;4;2;4;3,1;426;i7-5557U
0;8;4;8;1,9;409;i7-8650U
0;4;2;4;2,9;393;i7-7600U
0;8;4;8;1,8;409;i7-8565U
0;8;4;8;1,8;409;i7-8550U
0;4;2;4;2,7;393;i7-7500U
0;4;2;4;2,5;393;i7-6500U
0;4;2;4;2,5;393;i7-6498DU
0;4;2;4;2,4;393;i7-5500U
0;4;2;4;2,4;393;i7-5500DU
0;4;2;4;2;393;i7-4510U
0;4;2;4;2;304;i5-6360U
0;4;2;4;2,3;304;i5-7360U
0;4;2;4;1,8;304;i5-6260U
0;4;2;4;2,2;304;i5-7260U
0;4;2;4;3,1;304;i5-6287U
0;4;2;4;3,3;304;i5-7287U
0;6;4;8;2,6;320;i5-8269U
0;4;2;4;2,9;304;i5-6267U
0;4;2;4;3,1;304;i5-7267U
0;6;4;8;2,3;320;i5-8259U
0;3;2;4;1,8;315;i5-5350U
0;3;2;4;2,4;281;i5-6300U
0;3;2;4;2,3;281;i5-5300U
0;3;2;4;2,9;315;i5-5287U
0;3;2;4;2,7;315;i5-5257U
0;3;2;4;1,6;315;i5-5250U
0;6;4;8;1,7;297;i5-8350U
0;3;2;4;2,6;281;i5-7300U
0;6;4;8;1,6;297;i5-8265U
0;6;4;8;1,6;297;i5-8250U
0;3;2;4;2,5;281;i5-7200U
0;3;2;4;2,3;281;i5-6200U
0;3;2;4;2,3;281;i5-6198DU
0;3;2;4;2,2;281;i5-5200U
0;3;2;4;2,2;281;i5-5200DU
0;3;2;4;2,4;304;i3-6157U
0;3;2;4;2,7;304;i3-6167U
0;3;2;4;2,8;304;i3-7167U
0;4;2;4;3;304;i3-8109U
0;3;2;4;2,5;315;i3-5157U
0;3;2;4;2,1;281;i3-5010U
0;3;2;4;2;275;i3-5005U
0;3;2;4;2,4;281;I3-7100U
0;4;2;4;2,1;281;I3-8145U
0;4;2;4;2,2;281;i3-8130U
0;3;2;4;2;281;i3-6006U
0;3;2;4;2,3;281;i3-6100U
0;3;2;4;2,2;281;i3-5020U
0;3;2;4;2,1;281;i3-5015U
0;4;2;4;1,2;393;m7-6Y75
0;4;2;4;1,1;281;m5-6Y57
0;4;2;4;1,1;281;m5-6Y54
0;4;2;4;0,9;281;m3-6Y30
0;4;2;4;1,5;393;i7-8500Y
0;4;2;4;1,3;393;i7-7Y75
0;4;2;4;1,2;281;i5-7Y57
0;4;2;4;1,3;281;i5-8200Y
0;4;2;4;1,2;281;i5-7Y54
0;4;2;4;1,1;281;M3-8100Y,
0;4;2;4;1;281;m3-7Y30,
0;4;2;4;1,2;281;5Y71
0;4;2;4;1,1;281;5Y51
0;4;2;4;0,9;281;5Y31
0;4;2;4;0,8;281;5Y10c
